Date,Open,High,Low,Close
1-Jan-16,26101.5,26197.27,26008.2,26160.9
4-Jan-16,26116.52,26116.52,25596.57,25623.35
5-Jan-16,25744.7,25766.76,25513.75,25580.34
6-Jan-16,25628.23,25632.57,25357.7,25406.33
7-Jan-16,25224.7,25230.35,24825.7,24851.83
8-Jan-16,24969.02,25083.55,24887.22,24934.33
11-Jan-16,24787.11,24961.88,24598.9,24825.04
12-Jan-16,24862.93,24882.3,24597.11,24682.03
13-Jan-16,24804.64,24956.54,24387.69,24854.11
14-Jan-16,24606.2,25018.46,24473.22,24772.97
18-Jan-16,24400.78,24524.85,24141.99,24188.37
19-Jan-16,24257.28,24563.34,24247.23,24479.84
20-Jan-16,24325.77,24325.77,23839.76,24062.04
21-Jan-16,24194.75,24351.83,23862,23962.21
22-Jan-16,24122.06,24472.88,24120.04,24435.66
25-Jan-16,24540.97,24650.57,24433.67,24485.95
27-Jan-16,24643.13,24645.7,24458.13,24492.39
28-Jan-16,24481.86,24587.2,24400.52,24469.57
29-Jan-16,24347.31,24911.9,24340.06,24870.69
1-Feb-16,24982.22,25002.32,24788.58,24824.83
2-Feb-16,24868.21,24928.75,24460.53,24539
3-Feb-16,24393.59,24409.26,24187.54,24223.32
4-Feb-16,24386.45,24514.01,24224.74,24338.43
5-Feb-16,24360.36,24672.9,24345.79,24616.97
8-Feb-16,24637.41,24698.95,24196.84,24287.42
9-Feb-16,24076.85,24111.19,23919.47,24020.98
1-Mar-16,23153.32,23821.49,23133.18,23779.35
2-Mar-16,24044.96,24280.42,24043.89,24242.98
3-Mar-16,24386.67,24640.51,24383.28,24606.99
4-Mar-16,24704.59,24719.05,24531.8,24646.48
8-Mar-16,24655.19,24793.62,24509.21,24659.23
9-Mar-16,24527.27,24820.76,24451.6,24793.96
1-Apr-16,25301.7,25354.94,25119.35,25269.64
4-Apr-16,25333.98,25424.15,25223.49,25399.65
5-Apr-16,25372.44,25372.44,24837.51,24883.59
6-Apr-16,24978.86,25000.65,24834.16,24900.63
7-Apr-16,24998.79,25013.13,24647.48,24685.42
8-Apr-16,24665.8,24736.03,24608.51,24673.84
2-May-16,25565.44,25565.44,25341.14,25436.97
3-May-16,25500.14,25705.96,25192.94,25229.7
4-May-16,25210.87,25245.7,25061.04,25101.73
5-May-16,25187.66,25394.1,25162.94,25262.21
6-May-16,25223.67,25260.48,25057.93,25228.5
9-May-16,25321.83,25709.68,25302.86,25688.86
1-Jun-16,26684.46,26857.25,26671.86,26713.93
2-Jun-16,26694.28,26885.16,26641.02,26843.14
3-Jun-16,26919.23,27008.14,26792.07,26843.03
6-Jun-16,26897.84,26901.42,26729.54,26777.45
7-Jun-16,26833.54,27082.63,26829.53,27009.67
8-Jun-16,27085.24,27105.41,26973.71,27020.66
9-Jun-16,26994.48,26994.91,26692.35,26763.46
10-Jun-16,26742.26,26972.06,26620.5,26635.75
13-Jun-16,26468.27,26468.27,26262.27,26396.77
14-Jun-16,26482.5,26485.45,26264.81,26395.71
15-Jun-16,26500.79,26752.59,26446.59,26726.34
16-Jun-16,26686.03,26686.03,26314.91,26525.46
17-Jun-16,26653.85,26730.55,26538.51,26625.91
20-Jun-16,26497.11,26885.49,26447.88,26866.92
21-Jun-16,26907.42,26925.64,26754.6,26812.78
22-Jun-16,26791.68,26887.29,26617.45,26765.65
23-Jun-16,26753.2,27060.98,26736.52,27002.22
24-Jun-16,26367.48,26435.85,25911.33,26397.71
27-Jun-16,26347.81,26493.51,26262.72,26402.96
28-Jun-16,26410.66,26583.33,26378.46,26524.55
29-Jun-16,26627.15,26776.17,26606.31,26740.39
30-Jun-16,26926.17,27069.23,26872.59,26999.72
1-Jul-16,27064.33,27243.36,27061.4,27144.91
4-Jul-16,27314.44,27385.66,27251.06,27278.76
5-Jul-16,27340.72,27348.66,27127.3,27166.87
7-Jul-16,27209.97,27288.22,27146.95,27201.49
8-Jul-16,27292.2,27294.82,27034.14,27126.9
11-Jul-16,27358.23,27647.48,27358.23,27626.69
12-Jul-16,27667.81,27828.74,27667.81,27808.14
13-Jul-16,27912.14,27928.76,27752.14,27815.18
14-Jul-16,27857.8,27967.77,27763.15,27942.11
15-Jul-16,27966.14,28048.7,27735.87,27836.5
18-Jul-16,27920.66,28013.5,27697.69,27746.66
19-Jul-16,27790.05,27826.69,27637.98,27787.62
20-Jul-16,27775.7,27935.18,27759.71,27915.89
21-Jul-16,27980.07,27988.76,27687.54,27710.52
22-Jul-16,27721.72,27832.45,27646.21,27803.24
25-Jul-16,27753.96,28110.37,27736.51,28095.34
26-Jul-16,28121.37,28149.53,27927.13,27976.52
27-Jul-16,27976.14,28210.88,27899.93,28024.33
